,id,prediction
0,twitter_1,NOT_SARCASM
1,twitter_2,SARCASM
2,twitter_3,SARCASM
3,twitter_4,NOT_SARCASM
4,twitter_5,SARCASM
5,twitter_6,SARCASM
6,twitter_7,NOT_SARCASM
7,twitter_8,SARCASM
8,twitter_9,SARCASM
9,twitter_10,SARCASM
10,twitter_11,NOT_SARCASM
11,twitter_12,NOT_SARCASM
12,twitter_13,NOT_SARCASM
13,twitter_14,NOT_SARCASM
14,twitter_15,NOT_SARCASM
15,twitter_16,SARCASM
16,twitter_17,SARCASM
17,twitter_18,SARCASM
18,twitter_19,SARCASM
19,twitter_20,NOT_SARCASM
20,twitter_21,NOT_SARCASM
21,twitter_22,SARCASM
22,twitter_23,NOT_SARCASM
23,twitter_24,SARCASM
24,twitter_25,SARCASM
25,twitter_26,NOT_SARCASM
26,twitter_27,NOT_SARCASM
27,twitter_28,SARCASM
28,twitter_29,SARCASM
29,twitter_30,SARCASM
30,twitter_31,SARCASM
31,twitter_32,NOT_SARCASM
32,twitter_33,SARCASM
33,twitter_34,SARCASM
34,twitter_35,SARCASM
35,twitter_36,NOT_SARCASM
36,twitter_37,SARCASM
37,twitter_38,SARCASM
38,twitter_39,SARCASM
39,twitter_40,NOT_SARCASM
40,twitter_41,NOT_SARCASM
41,twitter_42,NOT_SARCASM
42,twitter_43,SARCASM
43,twitter_44,NOT_SARCASM
44,twitter_45,NOT_SARCASM
45,twitter_46,NOT_SARCASM
46,twitter_47,SARCASM
47,twitter_48,SARCASM
48,twitter_49,NOT_SARCASM
49,twitter_50,NOT_SARCASM
50,twitter_51,NOT_SARCASM
51,twitter_52,NOT_SARCASM
52,twitter_53,SARCASM
53,twitter_54,SARCASM
54,twitter_55,SARCASM
55,twitter_56,SARCASM
56,twitter_57,NOT_SARCASM
57,twitter_58,SARCASM
58,twitter_59,SARCASM
59,twitter_60,NOT_SARCASM
60,twitter_61,NOT_SARCASM
61,twitter_62,SARCASM
62,twitter_63,SARCASM
63,twitter_64,SARCASM
64,twitter_65,SARCASM
65,twitter_66,SARCASM
66,twitter_67,SARCASM
67,twitter_68,NOT_SARCASM
68,twitter_69,SARCASM
69,twitter_70,SARCASM
70,twitter_71,SARCASM
71,twitter_72,SARCASM
72,twitter_73,SARCASM
73,twitter_74,SARCASM
74,twitter_75,NOT_SARCASM
75,twitter_76,SARCASM
76,twitter_77,SARCASM
77,twitter_78,NOT_SARCASM
78,twitter_79,SARCASM
79,twitter_80,SARCASM
80,twitter_81,NOT_SARCASM
81,twitter_82,SARCASM
82,twitter_83,SARCASM
83,twitter_84,NOT_SARCASM
84,twitter_85,SARCASM
85,twitter_86,NOT_SARCASM
86,twitter_87,SARCASM
87,twitter_88,NOT_SARCASM
88,twitter_89,SARCASM
89,twitter_90,SARCASM
90,twitter_91,SARCASM
91,twitter_92,SARCASM
92,twitter_93,SARCASM
93,twitter_94,SARCASM
94,twitter_95,SARCASM
95,twitter_96,NOT_SARCASM
96,twitter_97,SARCASM
97,twitter_98,NOT_SARCASM
98,twitter_99,NOT_SARCASM
99,twitter_100,SARCASM
100,twitter_101,SARCASM
101,twitter_102,SARCASM
102,twitter_103,SARCASM
103,twitter_104,NOT_SARCASM
104,twitter_105,SARCASM
105,twitter_106,SARCASM
106,twitter_107,NOT_SARCASM
107,twitter_108,NOT_SARCASM
108,twitter_109,SARCASM
109,twitter_110,SARCASM
110,twitter_111,NOT_SARCASM
111,twitter_112,NOT_SARCASM
112,twitter_113,SARCASM
113,twitter_114,SARCASM
114,twitter_115,SARCASM
115,twitter_116,NOT_SARCASM
116,twitter_117,SARCASM
117,twitter_118,NOT_SARCASM
118,twitter_119,NOT_SARCASM
119,twitter_120,SARCASM
120,twitter_121,NOT_SARCASM
121,twitter_122,SARCASM
122,twitter_123,NOT_SARCASM
123,twitter_124,NOT_SARCASM
124,twitter_125,SARCASM
125,twitter_126,NOT_SARCASM
126,twitter_127,SARCASM
127,twitter_128,NOT_SARCASM
128,twitter_129,SARCASM
129,twitter_130,SARCASM
130,twitter_131,NOT_SARCASM
131,twitter_132,SARCASM
132,twitter_133,NOT_SARCASM
133,twitter_134,SARCASM
134,twitter_135,NOT_SARCASM
135,twitter_136,NOT_SARCASM
136,twitter_137,SARCASM
137,twitter_138,NOT_SARCASM
138,twitter_139,SARCASM
139,twitter_140,SARCASM
140,twitter_141,SARCASM
141,twitter_142,SARCASM
142,twitter_143,NOT_SARCASM
143,twitter_144,NOT_SARCASM
144,twitter_145,SARCASM
145,twitter_146,SARCASM
146,twitter_147,SARCASM
147,twitter_148,SARCASM
148,twitter_149,SARCASM
149,twitter_150,SARCASM
150,twitter_151,SARCASM
151,twitter_152,SARCASM
152,twitter_153,SARCASM
153,twitter_154,SARCASM
154,twitter_155,SARCASM
155,twitter_156,NOT_SARCASM
156,twitter_157,SARCASM
157,twitter_158,SARCASM
158,twitter_159,NOT_SARCASM
159,twitter_160,SARCASM
160,twitter_161,NOT_SARCASM
161,twitter_162,NOT_SARCASM
162,twitter_163,SARCASM
163,twitter_164,SARCASM
164,twitter_165,SARCASM
165,twitter_166,NOT_SARCASM
166,twitter_167,SARCASM
167,twitter_168,SARCASM
168,twitter_169,SARCASM
169,twitter_170,NOT_SARCASM
170,twitter_171,NOT_SARCASM
171,twitter_172,SARCASM
172,twitter_173,SARCASM
173,twitter_174,NOT_SARCASM
174,twitter_175,NOT_SARCASM
175,twitter_176,SARCASM
176,twitter_177,SARCASM
177,twitter_178,NOT_SARCASM
178,twitter_179,SARCASM
179,twitter_180,NOT_SARCASM
180,twitter_181,SARCASM
181,twitter_182,NOT_SARCASM
182,twitter_183,SARCASM
183,twitter_184,NOT_SARCASM
184,twitter_185,SARCASM
185,twitter_186,SARCASM
186,twitter_187,SARCASM
187,twitter_188,NOT_SARCASM
188,twitter_189,SARCASM
189,twitter_190,NOT_SARCASM
190,twitter_191,SARCASM
191,twitter_192,SARCASM
192,twitter_193,SARCASM
193,twitter_194,NOT_SARCASM
194,twitter_195,NOT_SARCASM
195,twitter_196,SARCASM
196,twitter_197,SARCASM
197,twitter_198,SARCASM
198,twitter_199,NOT_SARCASM
199,twitter_200,SARCASM
200,twitter_201,SARCASM
201,twitter_202,SARCASM
202,twitter_203,NOT_SARCASM
